title,price,address,url,date
"1-к квартира, 34 м², 9/10 эт.",21 000 руб. в месяц,"м. Пионерская 2.6 км, улица Репищева д.19 к.1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_34_m_910_et._724187371,24.11 08:05
"1-к квартира, 35 м², 13/25 эт.",23 000 руб. в месяц,"м. Пионерская 4.5 км, ул Парашютная, д 61 к 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_1325_et._1064542803,24.11 10:14
"1-к квартира, 39 м², 16/25 эт.",37 000 руб. в месяц,"м. Пионерская 300 м, пр. Коломяжский, д. 15, корп. 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_39_m_1625_et._520387089,24.11 08:07
"1-к квартира, 33 м², 7/9 эт.",23 000 руб. в месяц,"м. Пионерская 100 м, аллея Поликарпова, 3к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33_m_79_et._869995259,23.11 23:29
"2-к квартира, 70 м², 21/25 эт.",50 000 руб. в месяц,"м. Пионерская 1.4 км, пр.Королева д.21, корп 1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_70_m_2125_et._589206369,23.11 13:26
"1-к квартира, 37 м², 19/24 эт.",23 000 руб. в месяц,"м. Пионерская 1.9 км, Сизова пр-кт, 25",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_37_m_1924_et._1071598824,23.11 09:58
"Студия, 21.8 м², 2/12 эт.",25 000 руб. в месяц,"м. Пионерская 2.3 км, ул Репищева 10 к2",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_21.8_m_212_et._1124233614,22.11 17:54
"2-к квартира, 56.4 м², 3/25 эт.",28 000 руб. в месяц,"м. Пионерская 4.9 км, ул Парашютная",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_56.4_m_325_et._1077127789,21.11 12:42
"2-к квартира, 60 м², 12/25 эт.",35 000 руб. в месяц,"м. Пионерская 300 м, Россия, Санкт-Петербург, Коломяжский проспект, 15к1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_60_m_1225_et._1060342816,21.11 11:25
"1-к квартира, 43 м², 7/10 эт.",24 000 руб. в месяц,"м. Пионерская 1 км, Серебристый бул , д.27, кор.2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_43_m_710_et._262567165,21.11 09:34
"2-к квартира, 43.3 м², 4/5 эт.",24 000 руб. в месяц,"м. Пионерская 1.2 км, ул Матроса Железняка, 47 кв. 14",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_43.3_m_45_et._938903430,20.11 23:06
"2-к квартира, 64 м², 8/8 эт.",29 500 руб. в месяц,"м. Пионерская 800 м, Поликарпова аллея, 10к3",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_64_m_88_et._1026083290,20.11 21:21
"2-к квартира, 50 м², 7/9 эт.",35 000 руб. в месяц,"м. Пионерская 700 м, ул Аэродромная, 11к1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_50_m_79_et._969946575,20.11 17:27
"1-к квартира, 38 м², 20/25 эт.",24 000 руб. в месяц,"м. Пионерская 1.7 км, ул Байконурская, дом 26",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38_m_2025_et._1029865334,20.11 15:35
"2-к квартира, 62 м², 4/25 эт.",27 000 руб. в месяц,"м. Пионерская 1.7 км, Байконурская ул. д.26",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_62_m_425_et._653262979,20.11 11:47
"1-к квартира, 42 м², 7/14 эт.",25 000 руб. в месяц,"м. Пионерская 1.2 км, Серебристый б-р, 29к2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_42_m_714_et._1139226121,20.11 10:14
"1-к квартира, 45 м², 4/20 эт.",25 000 руб. в месяц,"м. Пионерская 1.1 км, Матроса Железняка 57",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_45_m_420_et._1047282260,19.11 22:12
"1-к квартира, 34 м², 1/9 эт.",17 000 руб. в месяц,"м. Пионерская 500 м, ул Аэродромная  д 5 к 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_34_m_19_et._1180688176,19.11 15:43
"1-к квартира, 31 м², 9/9 эт.",19 000 руб. в месяц,"м. Пионерская 400 м, пр.Богатырский, д.7, корп.3",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31_m_99_et._1035625870,18.11 21:44
"1-к квартира, 55 м², 4/5 эт.",28 000 руб. в месяц,"м. Пионерская 2.1 км, улица главная д 31",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_55_m_45_et._687706988,18.11 14:35
"Студия, 18 м², 3/25 эт.",22 000 руб. в месяц,"м. Пионерская 300 м, Россия, Санкт-Петербург, Коломяжский проспект, 15 корпус 1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_18_m_325_et._935601457,17.11 15:48
"2-к квартира, 48 м², 1/5 эт.",30 000 руб. в месяц,"м. Пионерская 2 км, Энгельса пр-кт, д. 7",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_48_m_15_et._1003039847,17.11 11:34
"Студия, 24 м², 4/25 эт.",16 000 руб. в месяц,"м. Пионерская 6.1 км, Россия, Санкт-Петербург, Комендантский проспект, 71",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_24_m_425_et._1041437086,16.11 20:28
"1-к квартира, 36 м², 24/24 эт.",20 000 руб. в месяц,"м. Пионерская 4.5 км, ул Парашютная дом 52",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_36_m_2424_et._1116789032,16.11 18:36
"3-к квартира, 63 м², 6/9 эт.",30 000 руб. в месяц,"м. Пионерская 100 м, ул Байконурская",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_63_m_69_et._937336715,15.11 09:34
"Студия, 27 м², 8/25 эт.",25 000 руб. в месяц,"м. Пионерская 1 км, Королева пр-кт, 7",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27_m_825_et._1075730693,14.11 22:48
